Title,Organization,URL,Rating,Metadata,Skills
Business Foundations,University of Pennsylvania,https://www.coursera.org/specializations/wharton-business-foundations,4.7,Beginner · Specialization · 3 - 6 Months,"Skills you'll gain: Accounting, Finance, General Accounting, Decision Making, Financial Accounting, Strategy and Operations, Account Management, Accounts Payable and Receivable, Cost Accounting, Leadership and Management, Strategy, Cash Management, Communication, Financial Analysis, Generally Accepted Accounting Principles (GAAP), Marketing, Brand Management, Budget Management, Customer Analysis, Market Analysis, Marketing Design, Product Marketing, Product Strategy, Entrepreneurship, Human Resources, People Analysis, Performance Management, Business Analysis, Data Analysis, Marketing Management, Mathematical Theory & Analysis, Sales, Change Management, Organizational Development, Talent Management, Planning, Operations Management"
Foundations of Cybersecurity,Google,https://www.coursera.org/learn/foundations-of-cybersecurity,4.8,Beginner · Course · 1 - 4 Weeks,"Skills you'll gain: Linux, Computer Programming, Leadership and Management, Risk Management, SQL"
Introduction to Data Science,IBM,https://www.coursera.org/specializations/introduction-data-science,4.6,Beginner · Specialization · 3 - 6 Months,"Skills you'll gain: Data Science, R Programming, Big Data, Cloud Computing, Computer Programming, Data Analysis, Data Mining, Data Model, Databases, Deep Learning, IBM Cloud, Machine Learning, Python Programming, Regression, SQL, Writing"
Applied Software Engineering Fundamentals,IBM,https://www.coursera.org/specializations/software-engineering-fundamentals,4.6,Beginner · Specialization · 3 - 6 Months,"Skills you'll gain: Software Engineering, Computer Programming, Software Engineering Tools, Application Development, Programming Principles, Software Architecture, Agile Software Development, Communication, Product Management, Software Testing, Software-Defined Networking, Collaboration, Leadership and Management, Linux, Data Analysis, Mergers & Acquisitions, Python Programming"
Meta Front-End Developer,Meta,https://www.coursera.org/professional-certificates/meta-front-end-developer,4.7,Beginner · Professional Certificate · 3 - 6 Months,"Skills you'll gain: HTML and CSS, Javascript, Front-End Web Development, React (web framework), Web Development, User Experience, Algorithms, Computer Science, Web Design, Application Development, Computer Programming, Software Engineering, Web Development Tools, Collaboration, Communication, Data Structures, Human Computer Interaction, Interactive Design, Linux, Problem Solving, Product Design, Software Engineering Tools, Software Testing"
Applied Data Science,IBM,https://www.coursera.org/specializations/applied-data-science,4.6,Beginner · Specialization · 3 - 6 Months,"Skills you'll gain: Python Programming, Data Analysis, Machine Learning, Algorithms, Computer Programming, Data Science, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning Algorithms, Plot (Graphics), Probability & Statistics, Regression"
Supervised Machine Learning: Regression and Classification ,DeepLearning.AI,https://www.coursera.org/learn/machine-learning,4.9,Beginner · Course · 1 - 4 Weeks,"Skills you'll gain: Machine Learning, Machine Learning Algorithms, Regression, Applied Machine Learning, Algorithms, Statistical Machine Learning, Mathematics, Critical Thinking, Machine Learning Software, Python Programming"
Google IT Automation with Python,Google,https://www.coursera.org/professional-certificates/google-it-automation,4.7,Beginner · Professional Certificate · 3 - 6 Months,"Skills you'll gain: Cloud Computing, Cloud Platforms, Collaboration, Computer Programming, Data Structures, Google Cloud Platform, Leadership and Management, Problem Solving, Python Programming"
IBM Data Analytics with Excel and R,IBM,https://www.coursera.org/professional-certificates/ibm-data-analyst-r-excel,4.7,Beginner · Professional Certificate · 3 - 6 Months,"Skills you'll gain: Data Analysis, R Programming, Data Visualization, Computer Programming, Plot (Graphics), Statistical Programming, Statistical Visualization, Exploratory Data Analysis, Data Analysis Software, Statistical Analysis, Basic Descriptive Statistics, Data Structures, General Statistics, Microsoft Excel, Interactive Data Visualization, Visualization (Computer Graphics), Spreadsheet Software, Data Management, Extract, Transform, Load, Regression, Programming Principles, Databases, Computer Programming Tools, Data Mining, Visual Design, Data Visualization Software, Python Programming, SQL, Business Analysis, Data Science, NoSQL, Big Data"
IBM AI Product Manager,IBM,https://www.coursera.org/professional-certificates/ibm-ai-product-manager,4.7,Beginner · Professional Certificate · 3 - 6 Months,"Skills you'll gain: Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Critical Thinking, Natural Language Processing, Communication, Collaboration, Data Science, Leadership Development, Leadership and Management, Planning, Product Development, Product Lifecycle, Product Management, Strategy"
Data Analysis and Visualization Foundations,IBM,https://www.coursera.org/specializations/data-analysis-visualization-foundations,4.7,Beginner · Specialization · 3 - 6 Months,"Skills you'll gain: Microsoft Excel, Data Visualization, Spreadsheet Software, Plot (Graphics), Data Analysis, Databases, Python Programming, SQL, Statistical Visualization, Data Management, Data Mining, Data Science, NoSQL, R Programming, Big Data, Business Analysis, Data Visualization Software, Interactive Data Visualization"
Data Engineering Foundations,IBM,https://www.coursera.org/specializations/data-engineering-foundations,4.6,Beginner · Specialization · 3 - 6 Months,"Skills you'll gain: Data Engineering, Data Management, Extract, Transform, Load, Databases, Network Security, Big Data, Data Analysis, Data Warehousing, Leadership and Management, SQL, Cloud Computing, Computer Programming, Data Science, NoSQL, PostgreSQL, Python Programming"
Meta Social Media Marketing,Meta,https://www.coursera.org/professional-certificates/facebook-social-media-marketing,4.8,Beginner · Professional Certificate · 3 - 6 Months,"Skills you'll gain: Marketing, Digital Marketing, Social Media, Advertising, Communication, Media Strategy & Planning, Marketing Management, Customer Analysis, Brand Management, Business Analysis, Marketing Design, Sales, Strategy and Operations, Data Analysis, General Statistics, Market Analysis, Probability & Statistics, Leadership and Management, Research and Design, Creativity, Planning, Entrepreneurship"
Key Technologies for Business,IBM,https://www.coursera.org/specializations/key-technologies-for-business,4.7,Beginner · Specialization · 3 - 6 Months,"Skills you'll gain: Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Cloud Computing, Critical Thinking, Natural Language Processing, Big Data, Data Analysis, Cloud Applications, Cloud Storage, Cloud Infrastructure, Data Mining, IBM Cloud, Cloud Platforms, Data Science, DevOps, Regression, Writing"
IBM & Darden Digital Strategy,IBM,https://www.coursera.org/specializations/digital-strategy,4.7,Beginner · Specialization · 3 - 6 Months,"Skills you'll gain: Business Analysis, Business Transformation, Strategy, Cloud Computing, Data Analysis, Strategy and Operations, Applied Machine Learning, Entrepreneurship, Leadership and Management, Algorithms, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Innovation, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Marketing, Sales, Big Data, Data Visualization, Research and Design, Critical Thinking, Natural Language Processing, Business Design, Business Development, Customer Analysis, Product Strategy, Market Analysis, Cloud Applications, Cloud Storage, Data Management, Data Mining, Databases, Python Programming, SQL, Cloud Infrastructure, Data Science, IBM Cloud, NoSQL, R Programming, Cloud Platforms, DevOps, Digital Marketing, Microsoft Excel"
Introduction to Finance and Accounting,University of Pennsylvania,https://www.coursera.org/specializations/finance-accounting,4.6,Beginner · Specialization · 3 - 6 Months,"Skills you'll gain: Accounting, Finance, Financial Accounting, General Accounting, Financial Analysis, Generally Accepted Accounting Principles (GAAP), Accounts Payable and Receivable, Cost Accounting, Account Management, Cash Management, Decision Making, Investment Management, Taxes, Budget Management, Estimation, Management Accounting, Problem Solving, Business Analysis, Mathematical Theory & Analysis, Mathematics, Data Analysis, Entrepreneurship"
Generative AI for Software Development,DeepLearning.AI,https://www.coursera.org/professional-certificates/generative-ai-for-software-development,4.6,Beginner · Professional Certificate · 1 - 3 Months,"Skills you'll gain: Machine Learning, Software Engineering"
Foundations of Digital Marketing and E-commerce,Google,https://www.coursera.org/learn/foundations-of-digital-marketing-and-e-commerce,4.8,Beginner · Course · 1 - 4 Weeks,"Skills you'll gain: Digital Marketing, Marketing, E-Commerce, Strategy, Data Analysis, Social Media"
Finance & Quantitative Modeling for Analysts,University of Pennsylvania,https://www.coursera.org/specializations/finance-quantitative-modeling-analysts,4.5,Beginner · Specialization · 3 - 6 Months,"Skills you'll gain: Finance, Business Analysis, Data Analysis, Financial Analysis, Accounting, Forecasting, Financial Management, General Accounting, General Statistics, Statistical Analysis, Account Management, Financial Accounting, Mathematical Theory & Analysis, Accounts Payable and Receivable, Probability & Statistics, Basic Descriptive Statistics, Cost Accounting, Data Model, Decision Making, Regression, Management Accounting, Statistical Tests, Budget Management, Microsoft Excel, Spreadsheet Software, Entrepreneurship, Linear Algebra, Computer Programming"
DeepLearning.AI Data Engineering,"DeepLearning.AI, Amazon Web Services",https://www.coursera.org/professional-certificates/data-engineering,4.8,Intermediate · Professional Certificate · 3 - 6 Months,"Skills you'll gain: Data Architecture, Feature Engineering"
Python for Everybody,University of Michigan,https://www.coursera.org/specializations/python,4.8,Beginner · Specialization · 3 - 6 Months,"Skills you'll gain: Computer Programming, Python Programming, Computer Programming Tools, Programming Principles, Data Structures, Computational Thinking, Computational Logic, Data Analysis, Software Engineering, Algorithms, Critical Thinking, Problem Solving, Data Architecture, Database Application, Databases, Theoretical Computer Science, Database Administration, Data Model, Data Visualization, Database Design, Database Theory, Web Development, Web Development Tools, Computer Networking, SQL, HTML and CSS"
IBM Full-Stack JavaScript Developer,IBM,https://www.coursera.org/professional-certificates/ibm-full-stack-javascript-developer,4.6,Beginner · Professional Certificate · 3 - 6 Months,"Skills you'll gain: Computer Programming, Software Engineering, Software Engineering Tools, Application Development, Communication, Programming Principles, Software Architecture, Agile Software Development, Web Development, Javascript, Cloud Applications, Front-End Web Development, Leadership and Management, Product Management, Software-Defined Networking, Collaboration, DevOps, Docker (Software), IBM Cloud, Cloud Computing, Computer Science, Continuous Delivery, Continuous Integration, Kubernetes, Mergers & Acquisitions, NoSQL, Python Programming, React (web framework)"
Generative AI with Large Language Models,DeepLearning.AI,https://www.coursera.org/learn/generative-ai-with-llms,4.8,Intermediate · Course · 1 - 4 Weeks,"Skills you'll gain: Machine Learning, Natural Language Processing, Python Programming"
AI For Business,University of Pennsylvania,https://www.coursera.org/specializations/ai-for-business-wharton,4.7,Beginner · Specialization · 3 - 6 Months,"Skills you'll gain: Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Data Analysis, Algorithms, Human Learning, Leadership and Management, Business Analysis, Decision Making, Human Resources, People Management, People Analysis, Artificial Neural Networks, Business Transformation, Customer Analysis, Deep Learning, Finance, Financial Accounting, Marketing, Probability & Statistics, Regulations and Compliance, Statistical Machine Learning, Strategy, User Experience, Big Data"
IBM AI Foundations for Business,IBM,https://www.coursera.org/specializations/ibm-ai-foundations-for-business,4.7,Beginner · Specialization · 1 - 3 Months,"Skills you'll gain: Machine Learning, Data Analysis, Applied Machine Learning, Data Management, Leadership and Management, Machine Learning Algorithms, Algorithms, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Machine Learning Software, Business Process Management, Data Architecture, Strategy and Operations, Critical Thinking, Natural Language Processing, Business Transformation, Cloud Computing, Strategy, Big Data, Innovation, Data Mining, Data Science, Regression, Writing"
Technical Support Fundamentals,Google,https://www.coursera.org/learn/technical-support-fundamentals,4.8,Beginner · Course · 1 - 3 Months,"Skills you'll gain: Communication, Computer Architecture, Computer Networking, Customer Support, Networking Hardware"
IBM Back-end JavaScript Developer,IBM,https://www.coursera.org/professional-certificates/backend-javascript-developer,4.6,Beginner · Professional Certificate · 3 - 6 Months,"Skills you'll gain: Computer Programming, Software Engineering, Software Engineering Tools, Application Development, Communication, Programming Principles, Software Architecture, Agile Software Development, Web Development, Javascript, Cloud Applications, Leadership and Management, Product Management, Software-Defined Networking, Collaboration, DevOps, Docker (Software), IBM Cloud, Cloud Computing, Computer Science, Continuous Delivery, Continuous Integration, Kubernetes, Mergers & Acquisitions, NoSQL, Python Programming"
Intuit Academy Bookkeeping,Intuit,https://www.coursera.org/professional-certificates/intuit-bookkeeping,4.6,Beginner · Professional Certificate · 3 - 6 Months,"Skills you'll gain: Accounting, General Accounting, Financial Accounting, Business Analysis, Data Analysis, Financial Analysis, Cash Management, Finance, Financial Management, Accounts Payable and Receivable, Cost Accounting, Inventory Management, Accounting Software, Sales, Taxes"
IBM Data Management,IBM,https://www.coursera.org/professional-certificates/ibm-data-manager,4.7,Beginner · Professional Certificate · 3 - 6 Months,"Skills you'll gain: Data Management, Data Engineering, Databases, Microsoft Excel, Data Analysis, Data Visualization, Extract, Transform, Load, SQL, Data Structures, Database Administration, Database Application, Database Design, Database Theory, Spreadsheet Software, Computer Programming, Big Data, Leadership and Management, Plot (Graphics), Business Analysis, Network Security, Statistical Visualization, Data Warehousing, Business Intelligence, Data Science, Data Visualization Software, Interactive Data Visualization, NoSQL, PostgreSQL, Risk Management, Tableau Software"
IBM IT Project Manager,IBM,https://www.coursera.org/professional-certificates/ibm-it-project-manager,4.7,Beginner · Professional Certificate · 3 - 6 Months,"Skills you'll gain: Software Engineering, Agile Software Development, Computer Programming, Software Engineering Tools, Application Development, Programming Principles, Software Architecture, Communication, Cloud Applications, Product Management, Scrum (Software Development), Software-Defined Networking, Leadership and Management, Project Management, Business Analysis, Cloud Computing, Databases, IBM Cloud, Information Technology, Operating Systems, Python Programming, Risk Management"
IBM Front-End Developer,IBM,https://www.coursera.org/professional-certificates/ibm-frontend-developer,4.6,Beginner · Professional Certificate · 3 - 6 Months,"Skills you'll gain: Cloud Applications, Software Engineering, Computer Programming, Cloud Computing, IBM Cloud, Application Development, Programming Principles, Software Engineering Tools, Web Development, Cloud API, Cloud Infrastructure, Cloud Management, Cloud Platforms, Software Architecture, Agile Software Development, Communication, Computer Architecture, DevOps, Continuous Integration, Software As A Service, Continuous Delivery, Product Management, Software-Defined Networking, Front-End Web Development, Leadership and Management, NoSQL, Collaboration, Javascript, Mergers & Acquisitions, Python Programming, React (web framework), Search Engine Optimization, Strategy, User Experience"
AI Foundations for Everyone,IBM,https://www.coursera.org/specializations/ai-foundations-for-everyone,4.7,Beginner · Specialization · 3 - 6 Months,"Skills you'll gain: Human Learning, Machine Learning, Artificial Neural Networks, Deep Learning, Machine Learning Algorithms, Natural Language Processing, Machine Learning Software, Human Computer Interaction, Algorithms, Applied Machine Learning, Cloud Computing, Computer Vision, IBM Cloud, Critical Thinking, Computer Programming, Data Science"
IBM iOS and Android Mobile App Developer,IBM,https://www.coursera.org/professional-certificates/ibm-ios-android-mobile-app-developer-pc,4.6,Beginner · Professional Certificate · 3 - 6 Months,"Skills you'll gain: Software Engineering, Computer Programming, Software Engineering Tools, Application Development, Programming Principles, Software Architecture, Agile Software Development, Communication, Front-End Web Development, Product Management, Software-Defined Networking, Web Development, Collaboration, Leadership and Management, Javascript, Mergers & Acquisitions, Python Programming, React (web framework), Strategy, User Experience"
IBM and ISC2 Cybersecurity Specialist,"IBM, ISC2",https://www.coursera.org/professional-certificates/ibm-isc2-cybersecurity-specialist,4.7,Beginner · Professional Certificate · 3 - 6 Months,"Skills you'll gain: Computer Security Incident Management, Leadership and Management, Risk Management, Cloud Computing, System Security, Cloud Storage, Computer Networking, Operating Systems, Network Security, Cloud Applications, Network Architecture, Networking Hardware, Cloud Infrastructure, Cloud Platforms, Computer Programming, Cyberattacks, Databases, Security Engineering, Cryptography, DevOps, IBM Cloud, Operations Management, Software Engineering"
Mathematics for Machine Learning and Data Science,DeepLearning.AI,https://www.coursera.org/specializations/mathematics-for-machine-learning-and-data-science,4.6,Intermediate · Specialization · 1 - 3 Months,"Skills you'll gain: Machine Learning, Calculus, Differential Equations, Mathematics, Machine Learning Algorithms, Regression, Algebra, Algorithms, Artificial Neural Networks, General Statistics, Linear Algebra, Probability & Statistics, Statistical Analysis"
IBM Business Intelligence (BI) Analyst,IBM,https://www.coursera.org/professional-certificates/bi-analyst,4.7,Beginner · Professional Certificate · 3 - 6 Months,"Skills you'll gain: Data Visualization, Data Analysis, Databases, Microsoft Excel, SQL, Data Management, Data Structures, Python Programming, Basic Descriptive Statistics, Computer Programming, Database Administration, Database Application, Database Design, Database Theory, Spreadsheet Software, Statistical Analysis, General Statistics, Mathematical Theory & Analysis, Plot (Graphics), Statistical Tests, Statistical Visualization, Probability & Statistics, Business Analysis, Data Mining, Data Science, Data Visualization Software, Data Warehousing, Interactive Data Visualization, NoSQL, R Programming, Business Intelligence, Forecasting, PostgreSQL, Tableau Software"
Business and Financial Modeling,University of Pennsylvania,https://www.coursera.org/specializations/wharton-business-financial-modeling,4.5,Beginner · Specialization · 3 - 6 Months,"Skills you'll gain: Business Analysis, Data Analysis, Finance, General Statistics, Probability & Statistics, Financial Analysis, Statistical Analysis, Forecasting, Mathematics, Spreadsheet Software, Statistical Tests, Basic Descriptive Statistics, Data Model, Mathematical Theory & Analysis, Risk Management, Correlation And Dependence, Probability Distribution, Decision Making, Investment Management, Accounting, Leadership and Management, Regression, Data Analysis Software, Financial Accounting, Microsoft Excel, Linear Algebra, Performance Management, Cash Management, General Accounting, Computer Programming"
Play It Safe: Manage Security Risks,Google,https://www.coursera.org/learn/manage-security-risks,4.8,Beginner · Course · 1 - 4 Weeks,"Skills you'll gain: Audit, Computer Security Incident Management, Leadership and Management, Risk Management"
