URL,Languages Available,Enroll Information,Assignments Count,Taught Language
https://www.coursera.org/professional-certificates/backend-javascript-developer,24 languages available,"5,187 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/intuit-bookkeeping,24 languages available,"188,623 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/ibm-data-manager,24 languages available,"1,585 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/ibm-it-project-manager,24 languages available,"26,348 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/ibm-frontend-developer,24 languages available,"22,031 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/ai-foundations-for-everyone,24 languages available,"37,258 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/ibm-ios-android-mobile-app-developer-pc,24 languages available,"3,421 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/ibm-isc2-cybersecurity-specialist,25 languages available,"11,966 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/mathematics-for-machine-learning-and-data-science,22 languages available,"93,154 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/bi-analyst,24 languages available,"20,395 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/wharton-business-financial-modeling,22 languages available,"92,794 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/manage-security-risks,11 languages available,"410,719 already enrolled",15 quizzes,Taught in English
https://www.coursera.org/learn/financial-markets-global,22 languages available,"2,071,773 already enrolled",25 assignments,Taught in English
https://www.coursera.org/learn/project-initiation-google,11 languages available,"791,550 already enrolled","7 quizzes, 10 assignments",Taught in English
https://www.coursera.org/specializations/meta-react-native,20 languages available,"26,204 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/ask-questions-make-decisions,11 languages available,"1,157,517 already enrolled","22 quizzes, 2 assignments",Taught in English
https://www.coursera.org/professional-certificates/sap-technology-consultant,22 languages available,"59,781 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/ibm-it-scrum-master,24 languages available,"10,859 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/generative-ai-for-everyone,23 languages available,"424,015 already enrolled",6 assignments,Taught in English
https://www.coursera.org/specializations/introduction-to-generative-ai,21 languages available,"28,540 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/generative-ai-automation,23 languages available,"6,659 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/prompt-engineering,23 languages available,"60,370 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/ibm-business-analyst-professional-certificate,24 languages available,,Not available,Taught in English
https://www.coursera.org/learn/foundations-user-experience-design,11 languages available,"1,364,559 already enrolled","11 quizzes, 6 assignments",Taught in English
https://www.coursera.org/professional-certificates/ai-engineer,22 languages available,"109,465 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/generative-ai-for-data-scientists,23 languages available,"6,489 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/generative-ai-for-everyone,23 languages available,"23,933 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/generative-ai-for-data-analysts,23 languages available,"5,091 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/generative-ai-leadership-strategy,23 languages available,"5,592 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/indigenous-canada,22 languages available,"612,144 already enrolled",12 assignments,Taught in English
https://www.coursera.org/specializations/generative-ai-for-product-managers,23 languages available,"3,240 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/generative-ai-for-software-developers,23 languages available,"5,894 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/meta-ios-developer,20 languages available,"45,764 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/generative-ai-assistants,23 languages available,"4,146 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/meta-android-developer,20 languages available,"51,341 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/chatgpt-free-ai-tools-to-excel,21 languages available,"5,896 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/prompt-engineering-for-educators,21 languages available,"2,200 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/generative-ai-for-cybersecurity-professionals,23 languages available,"3,446 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/generative-ai-for-project-managers,23 languages available,"2,988 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/generative-ai-for-business-intelligence-analysts,23 languages available,"2,147 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/generative-ai-for-data-engineers,23 languages available,,Not available,Taught in English
https://www.coursera.org/specializations/generative-ai-for-human-resources,23 languages available,"2,851 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/prompt-engineering-for-law,21 languages available,"4,985 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/chatgpt-gpt-zapier-excel-at-automation,21 languages available,"1,952 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/chatgpt-project-management,21 languages available,"2,950 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/chatgpt-zapier-email,21 languages available,"1,548 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/chatgpt-excel,21 languages available,,Not available,Taught in English
https://www.coursera.org/specializations/master-microsoft-office-365-power-platform,22 languages available,"3,805 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/meta-back-end-developer,20 languages available,"144,933 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/tensorflow-in-practice,22 languages available,"210,785 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/natural-language-processing,22 languages available,"136,662 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/microsoft-365-fundamentals,22 languages available,"129,460 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/hrci-human-resource-associate,24 languages available,"73,009 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/arizona-state-university-tesol,24 languages available,"71,223 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/ibm-product-manager,24 languages available,"21,953 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/business-analytics,22 languages available,"192,690 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/ibm-cybersecurity-analyst,24 languages available,"219,753 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/networks-and-network-security,11 languages available,"307,425 already enrolled",19 quizzes,Taught in English
https://www.coursera.org/learn/advanced-learning-algorithms,21 languages available,"312,129 already enrolled",14 assignments,Taught in English
https://www.coursera.org/professional-certificates/data-warehouse-engineering,22 languages available,"16,635 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/wharton-ai-in-education-leveraging-chatgpt-for-teaching,Not available,"5,386 already enrolled",4 assignments,Taught in English
https://www.coursera.org/professional-certificates/microsoft-business-analyst,22 languages available,"31,525 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/bi-foundations-sql-etl-data-warehouse,24 languages available,"9,553 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/google-cbrs-cpi-training,Not available,"3,554 already enrolled",14 assignments,Taught in English
https://www.coursera.org/specializations/pwc-analytics,22 languages available,"162,876 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/ibm-technical-support,25 languages available,"42,838 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/google-business-intelligence,11 languages available,"96,851 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/meta-database-engineer,20 languages available,"60,575 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/it-cloud-fundamentals,25 languages available,"12,350 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/computer-networking,11 languages available,"839,437 already enrolled",32 quizzes,Taught in English
https://www.coursera.org/learn/data-preparation,11 languages available,"855,394 already enrolled","24 quizzes, 5 assignments",Taught in English
https://www.coursera.org/professional-certificates/ibm-project-manager,24 languages available,"38,314 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/neural-networks-deep-learning,22 languages available,"1,374,794 already enrolled",4 assignments,Taught in English
https://www.coursera.org/specializations/positivepsychology,22 languages available,"74,527 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/digital-marketing,24 languages available,"350,183 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/project-planning-google,11 languages available,"515,070 already enrolled","20 quizzes, 11 assignments",Taught in English
https://www.coursera.org/learn/attract-and-engage-customers,11 languages available,"346,953 already enrolled","11 quizzes, 9 assignments",Taught in English
https://www.coursera.org/specializations/leading-modern-day-business,22 languages available,"49,867 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/facebook-marketing-analytics,20 languages available,"73,766 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/tesol,24 languages available,"85,637 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/uva-darden-digital-product-management,22 languages available,"62,993 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/wharton-entrepreneurship,22 languages available,"69,558 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/devops-cloud-and-agile-foundations,25 languages available,"15,929 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/excel,22 languages available,"564,420 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/improve-english,24 languages available,"654,408 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/wharton-fintech,22 languages available,"48,526 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/ibm-cloud-application-development-foundations,25 languages available,"9,892 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/introduction-psychology,22 languages available,"1,412,128 already enrolled",6 assignments,Taught in English
https://www.coursera.org/professional-certificates/ibm-applied-devops-engineering,24 languages available,"8,044 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/materiality-esg-factors,22 languages available,"20,551 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/microsoft-cloud-support-associate,22 languages available,"5,398 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/linux-and-sql,11 languages available,"256,715 already enrolled","18 quizzes, 3 assignments",Taught in English
https://www.coursera.org/professional-certificates/microsoft-it-support-specialist,22 languages available,"19,659 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/business-strategy,22 languages available,"72,487 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/certified-in-cybersecurity,22 languages available,"16,022 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/gcp-cloud-architect,Not available,"119,326 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/process-data,11 languages available,"720,137 already enrolled","21 quizzes, 3 assignments",Taught in English
https://www.coursera.org/learn/start-ux-design-process,11 languages available,"541,265 already enrolled","11 quizzes, 4 assignments",Taught in English
https://www.coursera.org/learn/agile-project-management,11 languages available,"550,288 already enrolled","16 quizzes, 5 assignments",Taught in English
https://www.coursera.org/learn/stanford-statistics,22 languages available,"522,072 already enrolled",13 assignments,Taught in English
https://www.coursera.org/professional-certificates/cloud-engineering-gcp,Not available,"109,405 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/regulatory-compliance,22 languages available,"34,062 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/cybersecurity-fundamentals,24 languages available,"2,016 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/meta-data-analyst,20 languages available,"22,891 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/gcp-architecture,Not available,"187,755 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/healthcare-administration-management,22 languages available,"22,700 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/epic-games-game-design-professional-certificate,13 languages available,"7,559 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/google-cloud-cybersecurity-certificate,Not available,"12,584 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/programming-python-java,22 languages available,"56,924 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/intro-to-healthcare,22 languages available,"56,980 already enrolled",20 assignments,Taught in English
https://www.coursera.org/learn/workday-basics-series,21 languages available,"26,940 already enrolled",20 assignments,Taught in English
https://www.coursera.org/specializations/supply-chain-management,22 languages available,"197,433 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/project-execution-google,11 languages available,"416,146 already enrolled","10 quizzes, 17 assignments",Taught in English
https://www.coursera.org/professional-certificates/sre-devops-engineer-google-cloud,Video subtitles available,"37,838 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/graphic-design,24 languages available,"395,558 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/ai-python-for-beginners,Not available,"4,433 already enrolled",4 assignments,Taught in English
https://www.coursera.org/specializations/learn-sql-basics-data-science,22 languages available,"268,266 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/microsoft-cybersecurity-analyst,22 languages available,"84,831 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/medical-billing-coding-fundamentals,21 languages available,"33,930 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/google-cloud-database-engineer,Not available,"9,978 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/google-cloud-security,Video subtitles available,"26,915 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/google-cloud-developer,Not available,"11,026 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/generative-ai-engineering-with-llms,21 languages available,"3,027 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/ibm-deep-learning-with-pytorch-keras-tensorflow,22 languages available,,Not available,Taught in English
https://www.coursera.org/learn/introduction-to-generative-ai-for-software-development,Not available,"19,357 already enrolled",6 assignments,Taught in English
https://www.coursera.org/specializations/construction-management,22 languages available,"116,144 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/google-cloud-networking,Not available,"15,830 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/analyze-data,11 languages available,"626,704 already enrolled",30 quizzes,Taught in English
https://www.coursera.org/professional-certificates/g-suite-administration,Not available,"42,452 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/seo,22 languages available,"228,310 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/business-analytics-excel,22 languages available,"462,289 already enrolled",23 assignments,Taught in English
https://www.coursera.org/learn/sciwrite,22 languages available,"534,866 already enrolled",8 assignments,Taught in English
https://www.coursera.org/professional-certificates/google-cloud-digital-leader-training,Video subtitles available,"52,018 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/salesforce-sales-operations,24 languages available,"63,223 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/thinklikeacfo,22 languages available,"19,220 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/preparing-for-google-cloud-machine-learning-engineer-professional-certificate,21 languages available,"50,025 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/unsupervised-learning-recommenders-reinforcement-learning,21 languages available,"236,015 already enrolled",8 assignments,Taught in English
https://www.coursera.org/specializations/mergersandacquisitions,21 languages available,"16,485 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/pharmacy-technician-fundamentals,21 languages available,"7,331 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/financialengineering,22 languages available,"27,489 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/aws-cloud-solutions-architect,25 languages available,"65,740 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/the-science-of-well-being,21 languages available,"4,793,429 already enrolled",8 assignments,Taught in English
https://www.coursera.org/specializations/foundations-management,22 languages available,"38,857 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/applying-project-management,11 languages available,"350,718 already enrolled","18 quizzes, 20 assignments",Taught in English
https://www.coursera.org/learn/assets-threats-and-vulnerabilities,11 languages available,"208,363 already enrolled",26 quizzes,Taught in English
https://www.coursera.org/specializations/networking-google-cloud-platform,Not available,"40,132 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/tableau-business-intelligence-analyst,24 languages available,"35,071 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/mathematics-machine-learning,24 languages available,"221,297 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/os-power-user,11 languages available,"544,365 already enrolled","17 quizzes, 1 assignment",Taught in English
https://www.coursera.org/learn/machine-learning-linear-algebra,22 languages available,"137,674 already enrolled",9 assignments,Taught in English
https://www.coursera.org/specializations/security-google-cloud-platform,Not available,"41,332 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/people-and-soft-skills-for-professional-success,23 languages available,"34,140 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/aws-fundamentals,25 languages available,"232,337 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/microsoft-project-management,Not available,"21,226 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/data-analysis-r,11 languages available,"621,308 already enrolled","37 quizzes, 1 assignment",Taught in English
https://www.coursera.org/specializations/developing-apps-gcp,Not available,"80,119 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/meem-project-management,21 languages available,"27,098 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/strategic-leadership,22 languages available,"134,458 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/aws-cloud-technology-consultant,25 languages available,"21,489 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/algorithms,22 languages available,"121,153 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/uva-darden-artificial-intelligence-marketing,22 languages available,"41,697 already enrolled",11 assignments,Taught in English
https://www.coursera.org/learn/introduction-to-machine-learning-in-production,22 languages available,"126,807 already enrolled",6 assignments,Taught in English
https://www.coursera.org/professional-certificates/aws-cloud-support-associate,25 languages available,"3,885 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/adp-payroll-specialist,Not available,"7,543 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/ai-for-medicine,22 languages available,"47,260 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/private-equity,22 languages available,"276,847 already enrolled",5 assignments,Taught in English
https://www.coursera.org/specializations/introduction-intellectual-property,22 languages available,"26,202 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/from-likes-to-leads,11 languages available,"208,339 already enrolled","12 quizzes, 12 assignments",Taught in English
https://www.coursera.org/learn/bookkeeping-basics,24 languages available,"221,033 already enrolled",18 assignments,Taught in English
https://www.coursera.org/learn/intro-to-data-engineering,Not available,"15,807 already enrolled",6 assignments,Taught in English
https://www.coursera.org/learn/visualize-data,11 languages available,"587,576 already enrolled","23 quizzes, 1 assignment",Taught in English
https://www.coursera.org/learn/python-crash-course,11 languages available,"1,165,455 already enrolled","10 quizzes, 7 assignments",Taught in English
https://www.coursera.org/learn/deep-neural-network,22 languages available,"582,397 already enrolled",3 assignments,Taught in English
https://www.coursera.org/learn/psychological-first-aid,22 languages available,"561,797 already enrolled",4 assignments,Taught in English
https://www.coursera.org/learn/leadershipskills,22 languages available,"187,797 already enrolled",24 assignments,Taught in English
https://www.coursera.org/professional-certificates/ibm-program-manager,24 languages available,"2,796 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/getting-started-with-google-workspace,Not available,"28,661 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/reinforcement-learning,22 languages available,"54,866 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/agile-development,22 languages available,"61,236 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/prompt-engineering,21 languages available,"350,818 already enrolled",7 assignments,Taught in English
https://www.coursera.org/learn/python,24 languages available,"3,208,300 already enrolled",5 quizzes,Taught in English
https://www.coursera.org/professional-certificates/adobe-content-creator,Not available,"6,257 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/tensorflow-advanced-techniques,22 languages available,"34,792 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/entrepreneurship-growing-your-business,22 languages available,"30,513 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/aws-devops,25 languages available,"40,960 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/python-for-applied-data-science-ai,24 languages available,"1,034,487 already enrolled",22 assignments,Taught in English
https://www.coursera.org/specializations/risk-management,22 languages available,"26,204 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/google-cloud-data-analytics-certificate,Not available,"8,277 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/detection-and-response,11 languages available,"185,812 already enrolled",26 quizzes,Taught in English
https://www.coursera.org/specializations/human-resource-management,22 languages available,"202,144 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/generative-adversarial-networks-gans,22 languages available,"44,078 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/javascript-programming-with-react-node-mongodb,24 languages available,"2,874 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/careerdevelopment,22 languages available,"2,587,981 already enrolled",52 assignments,Taught in English
https://www.coursera.org/specializations/product-management-certification,21 languages available,"1,958 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/tesol-certificate-2,24 languages available,"31,490 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/influencing-storytelling-change-management,22 languages available,"39,947 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/skillup-edtech-modern-project-management,24 languages available,"3,190 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/food-and-health,22 languages available,"952,745 already enrolled",4 assignments,Taught in English
https://www.coursera.org/learn/google-data-analytics-capstone,11 languages available,"528,420 already enrolled","5 quizzes, 1 assignment",Taught in English
https://www.coursera.org/specializations/meta-marketing-science-certification-prep,20 languages available,"1,616 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/certificado-de-carrera-de-google-marketing-digital-e-e-commerce,Video subtitles available,"56,049 already enrolled",Not available,Taught in Spanish
https://www.coursera.org/specializations/data-structures-algorithms,22 languages available,"347,718 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/ibm-machine-learning,22 languages available,"69,329 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/gcp-data-engineering,Not available,"98,523 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/ai-infrastructure-operations-fundamentals,21 languages available,"32,372 already enrolled",21 assignments,Taught in English
https://www.coursera.org/learn/system-administration-it-infrastructure-services,11 languages available,"477,299 already enrolled","19 quizzes, 1 assignment",Taught in English
https://www.coursera.org/specializations/jhu-data-science,24 languages available,"493,784 already enrolled",Not available,Taught in English
